sku	asin	price	quantity
KF-5C4W-A8RH	B08GY8914F	358.00	2
KM-AMX0-M377	B099X1R47P	220.00	1
KN-G69H-1HLI	B0822V364R	199.00	3
KS-OSFU-8ERZ	B0B59X3S3G	1149.00	2
KW-XWJP-8LMA	B099SD7FJ3	349.00	3
KY-IGB1-CX8M	B07LC1SSWF	570.00	3
L1-T2ED-RLYY	B09SV3183L	175.00	2
L4-BR29-3A8F	B08SBN6575	499.00	2
L8-YIVG-3N68	B0BK23XGYM	299.00	2
L9-W8TO-R2J0	B0824XJ2HM	228.00	3
LM-PQ2L-CHL4	B09Z6XNFCB	250.00	2
LO-IYMN-B3O3	B07YCM6H33	599.00	2
M4-6P6D-V0QS	B08411BG1S	129.00	3
M5-DUBF-6TYZ	B0BDFL2SHL	549.00	2
M7-TSI2-QZJJ	B08SWGSY97	259.00	3
M9-4L2J-AH5N	B0943TRZ2N	199.00	2
MC-97E0-EA60	B09BNNFRN5	198.00	1
MC-KD7R-FP1H	B09X1TG3K4	598.00	2
MC-UMDD-UY1L	B0B5DQZ39S	531.00	2
MH-99HF-H6TH	B0829QTCM9	149.00	3
MK-JM5B-J4HM	B0B5LQW6C9	199.00	2
MN-VPRN-UN8M	B084QHS4FL	155.00	3
N6-UCJL-SAXF	B09YYKGG2Q	299.00	5
NA-HN16-NO89	B082629S5Z	209.00	3
NO-UEBR-N67U	B09Z2VKJFL	498.00	1
NR-MEH2-GKN0	B0822MPXGC	286.00	1
NT-VSCO-NRKV	B09SLKSB5P	245.00	2
NX-4714-EYP3	B09STTSPVZ	245.00	2
NY-H839-0SEC	B08M5LRXPX	281.00	3
O7-TLJC-PB9O	B08P5R39Q4	198.00	4
OL-I3I7-JO6U	B08SQXT87X	155.00	3
OR-NPIN-OTX3	B09KNM44QH	399.00	2
OS-172L-THFH	B01LYXEFH7	292.00	3
OW-2U7D-1MZ2	B0BLP234GP	199.00	1
P3-Q7GC-89AI	B0B52584B1	540.00	1
P4-K4RG-7GUA	B09442WXBQ	149.00	2
P9-4A23-RE8A	B08HHT9L3B	265.00	3
PL-9UPP-UP62	B08SMLV1VX	275.00	2
PO-T36T-Z6Q9	B07LC3HD4H	372.00	2
PS-XBTL-EPJ2	B0B5FB4X6V	1560.00	1
PU-D38I-HE41	B09YYCWQK5	349.00	3
PZ-CLVY-WLJ7	B08411BG1S	148.00	3
Q7-T5OJ-N1LM	B0B7P6CDDJ	325.00	2
Q7-VPUL-5MRN	B0BRJGWTQP	549.00	2
QB-SAS3-MPCR	B0949FCTBJ	299.00	2
QG-8K4O-K331	B0BM4992NF	156.00	2
QN-VMDN-LOUL	B09Z317QWC	949.00	1
QP-H85L-F1NC	B084TNQGK2	299.00	3
R0-9AIE-4GQ2	B08RZ2BQNY	278.00	1
R1-LRZB-XAV3	B08D72JW3S	497.00	3
R4-49P7-WL0S	B0BCK5TNSP	699.00	2
R6-5WPS-9TYD	B0B4WLMJDR	159.00	2
R8-6ZFH-50Z2	B07X3XJNZT	240.00	2
RC-08XQ-ACL9	B0825PLR84	328.00	2
RJ-HR47-GA31	B09KV77XD8	699.00	1
RK-G4ZR-4E5T	B09Z2ZF5RN	489.00	1
RK-WPHT-UXMC	B0BFB5GFHT	749.00	2
RR-OK82-XFNI	B08SM9QS27	549.00	2
RT-T65D-K7J5	B08SC19435	157.00	2
RW-42PF-NOBL	B0B5F83PRS	809.00	1
S1-WJEH-GL6Q	B0BL7ZKWDT	645.00	2
S2-CPFF-00IF	B0BNF1ZY7Z	599.00	1
S5-PSBF-UUA7	B09KHBMZ81	1650.00	2
SA-K33B-LUTS	B09KTXTCN2	430.00	1
SB-JFHW-H1OB	B099WVK68G	184.00	2
SG-F229-0ZBX	B08SM6WD38	280.00	3
SV-CCVU-179F	B09YRYPHHS	910.00	2
SX-3321-2U4L	B0BN8FK4CJ	275.00	1
T4-TUXD-EN3B	B09VPCB387	649.00	2
T5-EMJQ-XSYA	B0BF5WXCCQ	520.00	2
T8-5XGT-Y1YF	B0BBB6HGW1	550.00	2
T8-I5CC-0ICD	B09X1WX913	498.00	2
TJ-ZEA8-3GWF	B07YDLMWZ4	135.00	2
TQ-K6A8-V9JG	B09KHG3PBH	750.00	1
TS-TIKE-TOP5	B0B52322DF	299.00	2
U4-QJMM-7FUH	B09KHDJTCV	649.00	1
U7-PF2A-99P3	B08SC6WZHJ	307.00	2
UF-Y42A-TZOM	B0B7JPP2TN	139.00	1
UI-JW3C-OYJE	B09VPDBZ93	299.00	1
UL-WHUO-SHGS	B08PFSM7LQ	249.00	1
UU-V35F-HLND	B09YYTWLYZ	189.00	1
UY-E1R4-53HO	B0943QF3V4	229.00	2
UZ-12H9-Q7FP	B08RP64YBP	195.00	3
V3-BHMR-KOV9	B099X14BV4	129.00	3
V7-HYB1-TARE	B0BCGD5MGN	675.00	1
VB-WSUJ-83UC	B09KS44WH1	340.00	2
VD-R3O3-GS2L	B09YYKCVW7	345.00	2
VE-CR5A-796V	B09Z6XP94V	600.00	2
VK-IAN1-ME9O	B07LC3M6CS	185.00	3
VN-NRU2-MXPL	B0BRJPQ6ZN	249.00	1
VP-4A3Y-CO80	B0BK4HWF3V	499.00	2
VW-8MNR-JQSE	B08F2NZFCC	185.00	3
VX-2ORF-ACUX	B082B672YY	1650.00	1
WD-NZ2X-AE5S	B0BLKLWRCS	130.00	2
WM-XXNA-54LJ	B08SBPT2WT	170.00	3
WN-WFTI-Y416	B0BN8V8ZRN	149.00	2
WO-EQUL-W5O6	B0829QTCM9	200.00	4
WR-EJ0Z-H0PV	B07M5PQBQV	525.00	1
WT-I14D-X5MP	B07LC2FYX7	159.00	2
WW-RDOP-WZPU	B0BK11QLB8	498.00	1
X3-PEZP-3667	B08HLBHVYS	225.00	4
X6-IOE5-ZV0P	B08SHV3VTS	475.00	3
XC-BVXN-D4ZP	B08P5R39Q4	195.00	4
XD-844E-V2WP	B08SM4T3ZG	199.00	3
XL-XTTP-H8RA	B099WZGHJ6	136.00	2
XQ-5NDJ-9IE7	B0B7DW9756	128.00	2
XS-UV3X-91O1	B08SBSHS75	380.00	3
Y0-A5E0-O1T1	B09KPZF98T	799.00	2
Y9-G4W2-JHGZ	B08SBJBY49	158.00	2
YB-HEJI-WTW5	B0BPYB5S64	249.00	2
YC-2SDX-J8JY	B08PFZY7ZQ	375.00	1
YG-S3T8-P3K8	B0BBVZKSQG	599.00	1
YK-O1JM-XTQA	B0B5HBTPBS	199.00	2
YN-9T0N-5NTY	B09YY4NNR2	199.00	2
YT-RB0F-EDJ8	B08D72JW3S	498.00	3
YV-UG38-GEF8	B099X278FK	350.00	2
Z0-VVSP-GBBZ	B0822TV1DX	140.00	3
Z5-7WZS-TN39	B0B7JHB68M	169.00	4
ZA-8XMF-HH5F	B0B5GTR1RQ	309.00	1
ZC-Q5UL-DGR8	B0B525LYL6	599.00	2
ZJ-VNBE-PEOL	B0BPYB39G1	299.00	1
ZL-BPWI-C9WY	B0BLKKNBK2	149.00	2
ZN-JBAB-ATTL	B09BQKW9Z6	199.00	1
ZT-5Z6D-T366	B099X2ZG9B	310.00	5
ZX-4RD4-AO6C	B08SMHWSKZ	208.00	3
ZX-Q09Y-HNR5	B08RP64YBP	196.00	4
08-POIO-5NYN	B093SVKBSD	234.00	0
14-XXG7-RR5S	B09RMQ5MBK	1099.00	0
1H-E9BG-T52K	B0CBN2YTXH	500.00	0
1U-Q9YJ-5VX8	B0BDMBL5NH	999.00	0
21-Z0N3-KP28	B09YS1V4F7	499.00	0
2Z-7S96-UHPK	B0BR48Y7BB	599.00	0
3J-M450-B2UU	B088BYP1FX	250.00	0
3K-2IK5-7NL9	B0B4NXM1HQ	173.00	0
4E-6B21-2DYI	B09X1JWBK1	399.00	0
4P-478P-MNSQ	B08W53MNC5	295.00	0
4R-M90I-R6RQ	B0BGSL4DPC	999.00	0
5I-TH9F-L7E2	B08SMBTK6Q	299.00	0
7E-847T-J543	B0949CKRG7	750.00	0
80-WE69-I9ZB	B0823Q41L3	215.00	0
8D-RVFM-5AAI	B0CBX2Q1G6	700.00	0
8N-VSW9-J3JZ	B09TPNWS5N	749.00	0
94-V3LG-4M4T	B0CBMVZD78	179.00	0
96-ECVR-HHBV	B08RP5PCVT	360.00	0
9T-5W6F-AT2X	B0CBX216YG	700.00	0
AI-GCLO-6IQ7	B0CBX5671R	350.00	0
AL-UKGL-12PE	B0B7NWN9S2	199.00	
AT-MAUP-4I0M	B08SHYPVRB	399.00	0
B8-NXE7-F67U	B0B5252HSX	599.00	0
CK-1WHG-QEI1	B0CBX1Y8NL	450.00	0
CT-3C3Y-UDHO	B0865CYHX7	298.00	0
CW-ADK1-T6NL	B07VKJRRNF	569.00	0
EE-K0XO-8H7I	B09KV94SG3	499.00	0
EI-PNVE-1GNO	B09442N71Q	300.00	0
EU-Y6U3-BS4K	B0BDFG9CYN	749.00	0
FX-92OE-1KX0	B0CBPNQ5LW	199.00	0
H0-M767-LU9Y	B093QD47GH	700.00	0
HL-ZVFY-XDOS	B094D4KTVS	259.00	0
HP-ST75-6PIJ	B0CB1R1X2J	179.00	0
IW-KS5D-8XTD	B083SNP8K3	155.00	0
J8-2UMV-0HHQ	B0829Z5QFM	175.00	0
JV-W97L-DUSP	B094DK4SXV	250.00	0
KI-5YEK-07BF	B09RPD6RQS	735.00	0
L9-JM7H-4CC7	B094433YKT	800.00	0
LL-KEV3-GSX8	B0CBMRZ57C	179.00	0
LS-FPGJ-8AA4	B0B5GVGL24	449.00	0
LX-HW3N-E81R	B0CBN38K7S	179.00	0
M0-FT50-YH8J	B09KRYV6G6	1599.00	0
ME-3BUJ-QA1H	B08RP3ZN4F	197.00	0
ME-XE69-MN86	B093QF6DTX	150.00	0
MP-PU7R-DP9Y	B08SBWCFK7	268.00	0
NC-Z0DD-YN4Q	B09RN1J2TX	1099.00	0
NI-T4UF-VCRD	B0CBPYM4CB	800.00	0
OJ-U2SB-L9CM	B0892KFN31	130.00	0
PW-WAB7-JPB8	B08M9VYR6R	435.00	0
QK-HYNL-LZXW	B09WHXXWML	530.00	0
R0-D479-1F5P	B09VSWZS9K	639.00	0
RC-VF1L-IQDL	B09VZ8839H	375.00	0
RI-TQR8-PR8S	B0BBWD1TRJ	550.00	0
RK-SN5M-R9FR	B09VDR8FQ5	799.00	0
SC-G7R6-SL70	B0BRJNYX3V	589.00	0
SC-JERB-W0KJ	B0B525GGQL	569.00	0
T1-GVN4-FGFM	B0CBMSB7BV	179.00	0
T1-Q878-M7YK	B0CBPSCP8L	399.00	0
T7-0YD4-FBQK	B0822TNY87	349.00	0
TL-SBV3-V1S3	B0CB16RKXY	169.00	0
TM-N0DX-8SN5	B0B4PFKTR2	106.00	0
TW-GEIA-KVYC	B07S33HFYG	449.00	0
U4-3YQ6-189B	B09KY1L8ZY	999.00	0
U7-EIAM-N1BG	B0822B3DVK	448.00	0
V8-5VFG-S5EN	B08SHXTYMS	211.00	0
W6-Q17S-ID2B	B09SWWSLQS	549.00	0
W9-VI0V-YIX2	B0BRJN4SDR	549.00	0
WA-PY38-TRVT	B094433YKT	599.00	0
WX-RC9O-3KNV	B0BCGZSRLT	499.00	0
X0-GRCK-U1SV	B0943X5FKK	199.00	0
XN-YJTD-SNEL	B08T1KXX4H	135.00	0
XS-G28C-39D2	B09X1VHKP7	185.00	0
Y8-Y2TM-4P54	B09RG95SPZ	415.00	0
Y8-ZVXG-PQO1	B09CDQHDLC	1467.00	0
YL-HWZ9-2UPY	B09GKTVWDZ	717.00	0
YM-9CI3-7I3I	B09V14DLYM	175.00	0
YQ-2543-A9GY	B08SM8LWFF	408.00	0
YR-YQOU-PKQW	B088BYP1FX	245.00	0
YS-I1GC-Q6Q6	B09Z32F3Q4	299.00	0
YW-SPY2-2RLA	B0B5HQGBXQ	299.00	0
ZE-BIB7-QGL8	B0BRJ98KRH	450.00	0
