item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	optional-payment-type-exclusion	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	maximum-retail-price
AJR Flower Frame Silicone Mold for Fondant, Chocolate, Crafts Sugarcraft Cake Decorating Mold	Flexible,reusable,not sticky,easy to demould,forming effect is good. Color:At Random Size:8cm*1cm Weight:23g Package:1Pcs Please Note: Due to hand measure, the size may have 1-2 cm error Due to Different Monitor, the color may have difference Due to long shipping, the item may damage in transit, if the item damage, pls contact us firstly immediately before leave feedback, thanks for your understanding	0228XIZ26RG	70-DNTO-6RUB	149	1	2020-02-28 11:54:12 IST		y	1			11				B0858ZH4W3						B0858ZH4W3			0	DEFAULT																					400.0
ABW Silicone Chocolate CHIP Mold' Art and Craft Silicone Mold Flexible and Reusable Silicone Mold		0809ZGM4ZIZ	74-F0FH-3BXG	159	2	2022-08-09 18:16:57 IST		y	1			11				B0B7MNR4WJ						B0B7MNR4WJ			0	DEFAULT																					250.0
Carousel Horse Silicone Animal Mould Cake Fondant Gum Paste Mold for Sugar Paste Birthday Cupcake Decorating Topper Decoration Sugar Craft Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1230ZEM5NB4	76-LVCV-64PY	249	2	2022-12-30 14:25:09 IST		y	1			11				B0BRCSSVPQ						B0BRCSSVPQ			0	DEFAULT																					500.0
ANB Sea Shell Mold Water shanq XL 7.5 cm Length Natural Design Mould	100% flexible silicone mold, washable, reusable, weight 175gm	0808XYGLW3Q	8Y-2YHO-KVC5	350	1	2020-08-08 17:48:54 IST		y	1			11				B08FG7LT3K						B08FG7LT3K			0	DEFAULT																					700.0
AIF soap Mould Resin Pendant soap Making Mould Handmade DIY soap Candle Aroma Stone Mould	Silicone kaleidoscope Mold soap Mould Resin Pendant soap making mould handmade diy soap Candle aroma stone mould sdfjkdsiofj Mold Material Silicone product size 7*2.6CM Soap weight 110g Mold weight 123g Mold color random	0113XWXPZEK	9C-8J2J-XLZH	370	2	2020-01-13 18:05:56 IST		y	1			11				B083SNL1FD						B083SNL1FD			0	DEFAULT																					1000.0
ACL Cake Border Silicone Molds, Scroll Lace Fondant Silicone Mold, European Frame Cake Decorating Tools, Relief Flower Lace Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1008ZMUTH3S	AA-2HJ8-27QN	199	2	2022-10-08 19:15:57 IST		y	1			11				B0BHPHBWCN						B0BHPHBWCN			0	DEFAULT																					500.0
ADD Leaf and Feather Cake Mould| Fern Fondant Leaves Molds | Chocolate Pinna Cotta Pudding Jelly Soap Moulds | Clay, Wax, DIY Sugar Crafts | Cake Topper Decoration Combo (Set of 2 Pcs)	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1008ZN07K6V	AB-9UO1-6KSP	349	1	2022-10-08 19:47:50 IST		y	1			11				B0BHPHW7BD						B0BHPHW7BD			0	DEFAULT																					1000.0
IndoSilico Set of 3 pcs Baby Angel Cake Fondant Decoration kit molds Reusable Silicone Mould for Chocolate, Cakes, Clay, Sugar	Food safe silicone. We make customize molds, If you need a mold for your design (figurine, wax candle or any other item) . Please contact us at below mentioned number	0507V9J42QJ	Angel_collection_1	550	3	2019-05-07 12:08:35 IST		y	1			11				B07M5PQBQV						B07M5PQBQV			0	DEFAULT																					1500.0
AJF Dolphin(60ml) Silicon Mold Size 8x5.7x4cm	dolphin silicon mold reusable multi parpas mold size 8X5.7X4	1031X80X61Z	B3-EB9H-ML89	420	2	2020-10-31 16:22:36 IST		y	1			11				B08MCC5JT6						B08MCC5JT6			0	DEFAULT																					1200.0
RETAIL SUPPLIES IndoSilico Silicone Baby Mold, DIY Art Mould Multipurpose Wax, Clay, Resin, Sugar, Cement, soap Craft Project	IndoSilico Molds, we use 100% silicone, soft flexible molds. Reusable any number of times.	0507V9GKQVZ	Baby_back_2	375	1	2019-05-07 12:13:10 IST		y	1			11				B07LC1SSWF						B07LC1SSWF			0	DEFAULT																					750.0
AQD IndoSilico Baby cart Mold, Silicone DIY Art Mould Multipurpose Wax, Clay, Resin, Sugar, Cement Craft Project	IndoSilico Molds, we use 100% silicone, soft flexible molds. Reusable any number of times.	0507V9LEG1F	Baby_cart_1	365	1	2019-05-07 12:11:30 IST		y	1			11				B07LC3HD4H						B07LC3HD4H			0	DEFAULT																					900.0
AKO Baby Angel Heart Mold, Silicone DIY Art Mould Multipurpose Clay, Resin, Sugar, Cement Craft Project	IndoSilico Molds, we use 100% silicone, soft flexible molds. Reusable any number of times.	0507V6VA46Z	Baby_heart_mold1	165	4	2019-05-07 12:15:52 IST		y	1			11				B07LC2FYX7						B07LC2FYX7			0	DEFAULT																					700.0
AKY Bicycle Shaped Silicone Mold Bike Mould Decorating Polymer Clay Mold		0906XNA4790	BicycleFlatMold	225	4	2020-09-06 23:50:26 IST		y	1			11				B08HHT9L3B						B08HHT9L3B			0	DEFAULT																					550.0
AKY 1Pcs Bicycle Shaped Silicone Mold,Bike Sugarcraft Cake Decorating Tools,Fondant Chocolate Mold	Flexible,reusable,not sticky,easy to demould,forming effect is good. Temperature range: Freeze - 40 degrees centigrade below zero, Heat - 230 degrees centigrade. Item Name:silicone cake mold Material:silicon Color:At Random Size:8.8cm*1cm Weight:37g Package:1Pcs	0731XGRTB7L	C6-AHUV-PIC3	179	3	2020-07-31 18:40:29 IST		y	1			11				B08F2NZFCC						B08F2NZFCC			0	DEFAULT																					400.0
ABF Owl" Silicone Mold for soap and Candles Making Mould molds	Owl" silicone mold for soap and candles making mould molds easy to use flexible and re usable silicon mould size..9x4x4 cm	1128XGSXNQB	CA-33AG-EHS8	900	2	2020-11-28 18:16:56 IST		y	1			11				B08P8VXWS2						B08P8VXWS2			0	DEFAULT																					1600.0
AAP Silicone Mold Cactus DIY Plant Shape for Clay Cement Art Candle Resin soap Making Mould	100% silicone mold, soft, washable, reusable, elastic moulds	0220Y2RIWDA	CC_Cactus_mold	259	2	2021-02-20 20:49:36 IST		y	1			11				B08X2WQHSV						B08X2WQHSV			0	DEFAULT																					850.0
