item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	optional-payment-type-exclusion	status	maximum-retail-price
AEW Ladies Wallet Handbag Purse Chain Bag Silicone Mold DIY Baking Chocolate Fondant Cake Decorating Tools Candy Clay Resin Moulds	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0623ZHUCXTT	31-5U19-RRK5	169	3	2022-06-23 15:20:05 IST		y	1			11				B0B4WL8ZT4						B0B4WL8ZT4			0	DEFAULT		Active	300.0
ABF Owl" Silicone Mold for soap and Candles Making Mould molds	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of vaseline or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0223YA8FTCG	37-QFHA-FSCE	890	3	2021-02-23 18:22:42 IST		y	1			11				B08P8VXWS2						B08P8VXWS2			0	DEFAULT		Active	1200.0
AGP Lord Krishna paan Leaf god Idol Sculpture Radha Krishna Temple Mould kanha ji kanhaiya Silicone Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0201Z9XOEJ8	3C-F17B-N23T	650	2	2022-02-01 12:54:47 IST		y	1			11				B09RMMPYGN						B09RMMPYGN			0	DEFAULT		Active	1400.0
ABG 3D owl Silicone Mold DIY Resin Cement Plaster Candle Silicone Mold Flexible and Reusable Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	1101YB09TTN	3E-MEZ9-A95U	670	2	2021-11-01 18:00:25 IST		y	1			11				B09KS3Q3DH						B09KS3Q3DH			0	DEFAULT		Active	1500.0
AKE Mini Bulldog Silicone Mold for Cake Decoration Small Dogs Theme Candle Mould Plaster Cement Polymer Clay Animal Form		1105YJ2RE9K	3Q-HWQ3-E2QX	192	4	2021-11-05 17:48:26 IST		y	1			11				B07S1WSL1X						B07S1WSL1X			0	DEFAULT		Active	400.0
AKL Seashell Sea Shell Fondant Mold, Round Silicone Baking Mould Candy Chocolate Cake,Make Your Own Homemade Bar Soap DIY Soap Mold Jelly Ice Cake Chocolate Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of vaseline or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Cratial curve LLP, India. Made in India	0223YAAUHNS	3S-1GQ7-O0FD	174	4	2021-02-23 18:18:58 IST		y	1			11				B08SC7M44N						B08SC7M44N			0	DEFAULT		Active	400.0
AJS Elephant Pattern Silicone Mold DIY Resin Cement decoretion Silicone Mold Flexible and Reusable Silicone Mold	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. A pinch of oil or release agent should be used before casting. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0901Y36PG6D	3Z-7UFT-RYEY	600	3	2021-09-01 19:03:25 IST		y	1			11				B09F6Y62Y1						B09F6Y62Y1			0	DEFAULT		Active	1000.0
AKI Monstera Leaf Impression Decoration 3D Mold Silicone Leaves Mould		1111YTPQ3YY	41-79XR-XMZL	135	3	2021-11-11 18:54:00 IST		y	1			11				B08HL8BFGR						B08HL8BFGR			0	DEFAULT		Active	300.0
ABB Tulip Flower Close Rose Bud Candle Mold Floral Wax Pattern tealight Reusable Silicone Mould	100% flexibe reusable silicone, cast with cement, resin, wax, sugar etc etc Silicone is non reactive material, it can bear 100-120C degrees, it can be freezed, Molds should be washed with soap after each use. With proper care molds can be used again and again almost infinite number of time. Silicone mold manufactured by Craftial curve LLP, India. Made in India	0401ZB7XPY8	4F-M7UN-GAR3	799	2	2022-04-01 19:39:09 IST		y	1			11				B09X1Y75TG						B09X1Y75TG			0	DEFAULT		Active	1200.0
AIG Silicone Valentine Wedding Couple Fondant Chocolate Mould Cake Decoration Tools, Multicolor		1111YTAFGM8	50-H96K-I156	392	3	2021-11-11 15:16:13 IST		y	1			11				B08SC7J6TB						B08SC7J6TB			0	DEFAULT		Active	700.0
